AAEGYL	Aedes_aegypti_lvpagwg
AALBI	Anopheles_albimanus
AARAB	Anopheles_arabiensis
AATRO	Anopheles_atroparvus
ACHRI	Anopheles_christyi
ACOLU	Anopheles_coluzzii
ACOLUN	Anopheles_coluzzii_ngousso
ACULI	Anopheles_culicifacies
ADARL	Anopheles_darlingi
ADIRU	Anopheles_dirus
AEPIR	Anopheles_epiroticus
AFARA	Anopheles_farauti
AFUNE	Anopheles_funestus
AGAMB	Anopheles_gambiae
AMELA	Anopheles_melas
AMERU	Anopheles_merus
AMINI	Anopheles_minimus
AQUAD	Anopheles_quadriannulatus
ASINEC	Anopheles_sinensis_china
ASTEP	Anopheles_stephensi
ASTEPI	Anopheles_stephensi_indian
AMELL	Apis_mellifera
ACEPH	Atta_cephalotes
BANTA	Belgica_antarctica
CMARI	Clunio_marinus
CQUIN	Culex_quinquefasciatus
CQUINQ	Culex_quinquefasciatus_quinquefasciatus
CSONO	Culicoides_sonorensis
DANAN	Drosophila_ananassae
DEREC	Drosophila_erecta
DGRIM	Drosophila_grimshawi
DMELA	Drosophila_melanogaster
DMOJA	Drosophila_mojavensis
DPERS	Drosophila_persimilis
DPSEU	Drosophila_pseudoobscura
DSECH	Drosophila_sechellia
DSIMU	Drosophila_simulans
DVIRI	Drosophila_virilis
DWILL	Drosophila_willistoni
DYAKU	Drosophila_yakuba
GAUST	Glossina_austeni
GBREV	Glossina_brevipalpis
GMORS	Glossina_morsitans
GPALL	Glossina_pallidipes
GPALP	Glossina_palpalis
LCUPR	Lucilia_cuprina
MDOME	Musca_domestica
PNUBI	Polypedilum_nubifer
PPEMB	Polypedilum_pembai
PVAND	Polypedilum_vanderplanki
SCALC	Stomoxys_calcitrans
